n,time
1,6.9141387939453125e-06
2,1.2874603271484375e-05
4,1.0013580322265625e-05
8,1.71661376953125e-05
16,4.8160552978515625e-05
32,0.0001308917999267578
64,0.0004017353057861328
128,0.0012867450714111328
256,0.004731893539428711
512,0.022117137908935547
